vendor_id,vendor_name,business_category,city,user_id,product_id,product_name,price,competitor_price,discount,action,quantity,revenue,timestamp,hour,weekday,session_duration,views_count,clicks_count,purchases_count,rating,weather,festival_flag,popularity_score,conversion_rate,demand_score,recommendation_score,peak_time_flag
1,AAGrocery Market,Grocery,Bhopal,2620,90197,Cheese,199.78,236.78,0.15,view,0,0.0,2025-07-20 06:29:00,6,6,255,8,2,2,4.6,sunny,0,0.176,0.222,0.194,0.167,0
1,AAGrocery Market,Grocery,Bhopal,2419,20285,Chocolate,94.88,87.05,0.15,view,0,0.0,2025-03-10 05:26:00,5,0,228,8,8,0,4.8,hot,0,0.224,0.0,0.134,0.145,0
1,AAGrocery Market,Grocery,Bhopal,2933,75025,Potatoes,29.88,35.59,0.05,view,0,0.0,2025-11-24 02:29:00,2,0,289,1,0,1,4.75,cloudy,1,0.028,0.5,0.217,0.189,0
1,AAGrocery Market,Grocery,Bhopal,637,50842,Wheat Flour,108.03,107.09,0.11,purchase,3,324.09,2025-03-16 10:15:00,10,6,99,13,1,1,4.29,cloudy,1,0.232,0.071,0.168,0.154,0
1,AAGrocery Market,Grocery,Bhopal,178,40917,Apples,313.69,295.45,0.09,click,0,0.0,2025-10-03 15:22:00,15,4,85,18,9,9,3.94,cloudy,0,0.504,0.474,0.492,0.483,0
1,AAGrocery Market,Grocery,Bhopal,2886,60736,Eggs,396.88,380.97,0.15,view,0,0.0,2025-06-15 22:48:00,22,6,301,3,1,0,4.27,cold,1,0.06,0.0,0.036,0.029,0
1,AAGrocery Market,Grocery,Bhopal,1858,42695,Coffee,311.62,296.4,0.24,view,0,0.0,2025-09-16 16:48:00,16,1,219,22,8,1,3.6,hot,0,0.46,0.043,0.293,0.348,0
1,AAGrocery Market,Grocery,Bhopal,2188,27071,Cooking Oil,408.03,404.51,0.17,view,0,0.0,2025-10-04 07:27:00,7,5,281,21,17,7,3.65,cloudy,0,0.624,0.318,0.502,0.49,0
1,AAGrocery Market,Grocery,Bhopal,939,81604,Bread,78.58,82.4,0.23,add_to_cart,0,0.0,2025-10-20 02:51:00,2,0,279,3,1,1,3.55,rainy,1,0.072,0.25,0.143,0.129,0
1,AAGrocery Market,Grocery,Bhopal,1621,40917,Apples,338.01,335.82,0.14,view,0,0.0,2025-04-12 16:13:00,16,5,257,24,17,17,4.28,cloudy,1,0.792,0.68,0.747,0.653,0
1,AAGrocery Market,Grocery,Bhopal,2391,29331,Biscuits,485.4,549.73,0.22,view,0,0.0,2025-04-11 17:31:00,17,4,526,16,2,0,4.91,sunny,0,0.28,0.0,0.168,0.175,1
1,AAGrocery Market,Grocery,Bhopal,2571,54109,Rice,462.5,428.53,0.01,add_to_cart,0,0.0,2025-11-04 09:46:00,9,1,70,13,6,4,3.79,cold,1,0.328,0.286,0.311,0.289,0
1,AAGrocery Market,Grocery,Bhopal,2267,30060,Milk,206.57,202.73,0.09,click,0,0.0,2025-03-25 09:56:00,9,1,554,25,8,5,4.74,sunny,1,0.556,0.192,0.41,0.374,0
1,AAGrocery Market,Grocery,Bhopal,1781,54109,Rice,280.49,264.3,0.02,view,0,0.0,2025-07-11 19:03:00,19,4,517,25,5,4,4.7,sunny,1,0.508,0.154,0.366,0.437,1
1,AAGrocery Market,Grocery,Bhopal,2618,10349,Tomatoes,390.68,374.9,0.2,click,0,0.0,2025-04-22 07:03:00,7,1,387,25,5,4,3.51,hot,0,0.508,0.154,0.366,0.396,0
1,AAGrocery Market,Grocery,Bhopal,2454,50525,Tea,369.92,418.52,0.09,view,0,0.0,2025-03-23 11:01:00,11,6,376,10,3,0,3.61,rainy,0,0.196,0.0,0.118,0.1,0
1,AAGrocery Market,Grocery,Bhopal,351,79598,Bananas,434.29,472.07,0.02,add_to_cart,0,0.0,2025-04-02 13:49:00,13,2,136,22,15,5,4.0,cloudy,1,0.592,0.217,0.442,0.409,0
1,AAGrocery Market,Grocery,Bhopal,868,75025,Potatoes,176.09,197.02,0.22,add_to_cart,0,0.0,2025-05-27 11:22:00,11,1,324,13,10,10,4.46,cloudy,1,0.448,0.714,0.554,0.548,0
1,AAGrocery Market,Grocery,Bhopal,2120,40917,Apples,77.41,86.23,0.14,view,0,0.0,2025-06-13 14:52:00,14,4,70,11,0,0,4.64,hot,0,0.176,0.0,0.106,0.117,0
1,AAGrocery Market,Grocery,Bhopal,30,60736,Eggs,257.02,271.62,0.01,click,0,0.0,2025-02-12 20:53:00,20,2,239,3,0,1,4.14,sunny,0,0.06,0.25,0.136,0.115,1
1,AAGrocery Market,Grocery,Bhopal,1141,79598,Bananas,35.09,38.28,0.13,view,0,0.0,2025-04-07 08:19:00,8,0,589,19,15,7,3.97,cold,1,0.568,0.35,0.481,0.559,0
1,AAGrocery Market,Grocery,Bhopal,780,90197,Cheese,139.66,142.89,0.06,view,0,0.0,2025-11-10 21:09:00,21,0,367,14,6,3,4.63,sunny,0,0.332,0.2,0.279,0.232,1
1,AAGrocery Market,Grocery,Bhopal,249,29331,Biscuits,159.08,150.87,0.2,click,0,0.0,2025-03-21 13:36:00,13,4,259,7,3,3,4.89,rainy,1,0.184,0.375,0.26,0.274,0
1,AAGrocery Market,Grocery,Bhopal,752,19063,Sugar,438.3,500.14,0.22,view,0,0.0,2025-02-24 21:26:00,21,0,458,18,3,0,3.78,hot,0,0.324,0.0,0.194,0.197,1
1,AAGrocery Market,Grocery,Bhopal,383,27071,Cooking Oil,407.57,476.38,0.03,view,0,0.0,2025-12-20 15:11:00,15,5,497,7,6,0,3.98,rainy,1,0.184,0.0,0.11,0.098,0
1,AAGrocery Market,Grocery,Bhopal,9,29331,Biscuits,225.01,257.73,0.0,view,0,0.0,2025-11-28 07:50:00,7,4,297,14,11,11,4.79,hot,1,0.488,0.733,0.586,0.589,0
1,AAGrocery Market,Grocery,Bhopal,635,50842,Wheat Flour,220.36,213.01,0.08,view,0,0.0,2025-02-12 14:04:00,14,2,598,24,17,1,3.68,cloudy,0,0.6,0.04,0.376,0.443,0
1,AAGrocery Market,Grocery,Bhopal,206,83716,Onions,175.14,184.88,0.09,view,0,0.0,2025-04-25 15:20:00,15,4,63,17,2,0,4.55,sunny,0,0.296,0.0,0.178,0.212,0
1,AAGrocery Market,Grocery,Bhopal,2766,27071,Cooking Oil,481.97,470.18,0.08,view,0,0.0,2025-06-29 06:55:00,6,6,597,20,1,0,4.25,cold,1,0.332,0.0,0.199,0.182,0
1,AAGrocery Market,Grocery,Bhopal,1069,50842,Wheat Flour,37.71,40.84,0.01,click,0,0.0,2025-08-17 18:45:00,18,6,249,9,6,1,4.25,cloudy,1,0.228,0.1,0.177,0.161,1
1,AAGrocery Market,Grocery,Bhopal,1296,60736,Eggs,455.97,443.14,0.12,view,0,0.0,2025-03-14 19:17:00,19,4,80,18,6,4,3.72,cloudy,0,0.408,0.211,0.329,0.393,1
1,AAGrocery Market,Grocery,Bhopal,1430,60736,Eggs,136.19,150.03,0.06,add_to_cart,0,0.0,2025-09-27 01:57:00,1,5,296,6,3,2,4.64,hot,0,0.156,0.286,0.208,0.227,0
1,AAGrocery Market,Grocery,Bhopal,2736,75025,Potatoes,196.54,214.17,0.13,view,0,0.0,2025-03-17 10:18:00,10,0,142,9,1,0,4.45,hot,0,0.156,0.0,0.094,0.079,0
1,AAGrocery Market,Grocery,Bhopal,1116,65721,Salt,420.95,419.36,0.01,click,0,0.0,2025-09-07 16:16:00,16,6,213,22,20,8,3.78,hot,1,0.688,0.348,0.552,0.572,0
1,AAGrocery Market,Grocery,Bhopal,1029,81604,Bread,345.23,312.42,0.06,view,0,0.0,2025-11-05 10:31:00,10,2,288,2,0,1,4.27,rainy,1,0.044,0.333,0.16,0.169,0
1,AAGrocery Market,Grocery,Bhopal,662,40917,Apples,103.7,114.83,0.23,click,0,0.0,2025-11-08 10:22:00,10,5,579,1,0,0,4.08,rainy,0,0.016,0.0,0.01,0.009,0
1,AAGrocery Market,Grocery,Bhopal,1513,83716,Onions,183.71,171.59,0.22,click,0,0.0,2025-11-09 23:04:00,23,6,135,2,1,1,4.89,sunny,1,0.056,0.333,0.167,0.151,0
1,AAGrocery Market,Grocery,Bhopal,861,27071,Cooking Oil,336.79,385.68,0.13,click,0,0.0,2025-09-15 12:58:00,12,0,578,14,9,2,4.33,rainy,0,0.356,0.133,0.267,0.239,0
1,AAGrocery Market,Grocery,Bhopal,726,20285,Chocolate,64.69,75.63,0.16,view,0,0.0,2025-08-30 21:21:00,21,5,426,22,7,4,4.85,rainy,0,0.484,0.174,0.36,0.337,1
1,AAGrocery Market,Grocery,Bhopal,1567,81604,Bread,187.62,209.72,0.22,add_to_cart,0,0.0,2025-06-11 23:18:00,23,2,209,15,11,4,4.85,rainy,0,0.42,0.25,0.352,0.391,0
1,AAGrocery Market,Grocery,Bhopal,97,50842,Wheat Flour,328.18,303.65,0.22,view,0,0.0,2025-07-22 20:56:00,20,1,76,25,8,5,3.74,hot,1,0.556,0.192,0.41,0.427,1
1,AAGrocery Market,Grocery,Bhopal,2784,75025,Potatoes,24.41,22.71,0.0,view,0,0.0,2025-01-21 02:21:00,2,1,123,9,2,2,4.5,cloudy,0,0.192,0.2,0.195,0.169,0
1,AAGrocery Market,Grocery,Bhopal,445,90992,Paneer,283.39,313.87,0.06,view,0,0.0,2025-08-17 09:54:00,9,6,451,20,16,3,4.48,cold,0,0.548,0.143,0.386,0.419,0
1,AAGrocery Market,Grocery,Bhopal,1044,81604,Bread,133.88,133.56,0.16,click,0,0.0,2025-01-02 05:33:00,5,3,537,18,6,2,4.62,cold,0,0.384,0.105,0.272,0.31,0
1,AAGrocery Market,Grocery,Bhopal,2721,50525,Tea,335.65,359.31,0.09,click,0,0.0,2025-04-01 17:59:00,17,1,312,17,9,6,3.64,cloudy,1,0.452,0.333,0.404,0.366,1
1,AAGrocery Market,Grocery,Bhopal,2856,65721,Salt,137.12,163.43,0.22,click,0,0.0,2025-05-20 16:38:00,16,1,435,22,12,10,4.09,rainy,1,0.616,0.435,0.544,0.573,0
1,AAGrocery Market,Grocery,Bhopal,1664,75025,Potatoes,401.51,421.9,0.12,add_to_cart,0,0.0,2025-08-10 06:35:00,6,6,298,7,6,6,4.37,hot,1,0.256,0.75,0.454,0.399,0
1,AAGrocery Market,Grocery,Bhopal,1905,40917,Apples,366.78,361.0,0.16,view,0,0.0,2025-06-05 14:42:00,14,3,528,16,5,5,3.54,sunny,1,0.376,0.294,0.343,0.299,0
1,AAGrocery Market,Grocery,Bhopal,2112,90992,Paneer,471.42,559.19,0.09,view,0,0.0,2025-06-21 00:37:00,0,5,322,8,3,1,4.87,sunny,0,0.176,0.111,0.15,0.121,0
1,AAGrocery Market,Grocery,Bhopal,1003,79598,Bananas,465.59,478.84,0.24,click,0,0.0,2025-02-23 00:45:00,0,6,471,14,14,10,4.95,hot,0,0.512,0.667,0.574,0.655,0
1,AAGrocery Market,Grocery,Bhopal,2943,29331,Biscuits,161.34,163.85,0.08,view,0,0.0,2025-06-27 15:56:00,15,4,156,21,0,0,4.78,cold,0,0.336,0.0,0.202,0.175,0
1,AAGrocery Market,Grocery,Bhopal,721,10349,Tomatoes,287.26,339.21,0.14,view,0,0.0,2025-07-01 11:03:00,11,1,129,15,4,3,4.54,hot,1,0.324,0.188,0.27,0.226,0
1,AAGrocery Market,Grocery,Bhopal,1813,90992,Paneer,315.2,377.3,0.13,add_to_cart,0,0.0,2025-11-07 17:50:00,17,4,566,15,5,5,3.71,cold,1,0.36,0.312,0.341,0.392,1
1,AAGrocery Market,Grocery,Bhopal,1062,27071,Cooking Oil,375.57,416.55,0.09,add_to_cart,0,0.0,2025-07-21 22:22:00,22,0,538,16,7,4,4.55,cold,0,0.388,0.235,0.327,0.3,0
1,AAGrocery Market,Grocery,Bhopal,2923,65721,Salt,408.49,466.92,0.23,view,0,0.0,2025-09-02 13:21:00,13,1,332,18,2,0,4.8,rainy,0,0.312,0.0,0.187,0.188,0
1,AAGrocery Market,Grocery,Bhopal,1569,46524,Butter,260.73,297.1,0.18,click,0,0.0,2025-02-16 18:28:00,18,6,429,14,5,4,4.47,cold,1,0.332,0.267,0.306,0.342,1
1,AAGrocery Market,Grocery,Bhopal,256,50842,Wheat Flour,447.2,447.83,0.02,add_to_cart,0,0.0,2025-10-11 14:36:00,14,5,25,25,18,12,4.06,cold,0,0.76,0.462,0.641,0.661,0
1,AAGrocery Market,Grocery,Bhopal,1441,65721,Salt,37.25,38.73,0.07,add_to_cart,0,0.0,2025-11-02 02:55:00,2,6,556,24,23,17,4.31,hot,0,0.864,0.68,0.79,0.819,0
1,AAGrocery Market,Grocery,Bhopal,2000,27071,Cooking Oil,34.64,31.56,0.09,view,0,0.0,2025-12-20 15:12:00,15,5,34,13,5,5,4.73,cold,0,0.328,0.357,0.34,0.289,0
1,AAGrocery Market,Grocery,Bhopal,1915,46524,Butter,270.68,306.14,0.16,purchase,5,1353.4,2025-01-20 15:16:00,15,0,408,19,18,0,3.82,sunny,1,0.52,0.0,0.312,0.26,0
1,AAGrocery Market,Grocery,Bhopal,556,40917,Apples,44.81,47.47,0.16,view,0,0.0,2025-07-09 10:33:00,10,2,393,11,3,3,4.31,cloudy,1,0.248,0.25,0.249,0.272,0
1,AAGrocery Market,Grocery,Bhopal,1553,19063,Sugar,488.41,515.22,0.2,add_to_cart,0,0.0,2025-11-03 23:22:00,23,0,263,3,3,0,3.98,hot,0,0.084,0.0,0.05,0.045,0
1,AAGrocery Market,Grocery,Bhopal,1434,27071,Cooking Oil,230.71,213.07,0.24,click,0,0.0,2025-01-30 07:33:00,7,3,36,8,3,0,3.54,hot,0,0.164,0.0,0.098,0.111,0
1,AAGrocery Market,Grocery,Bhopal,978,46524,Butter,354.07,362.1,0.04,view,0,0.0,2025-03-25 07:06:00,7,1,582,7,7,4,3.76,cloudy,0,0.244,0.5,0.346,0.311,0
1,AAGrocery Market,Grocery,Bhopal,2482,90992,Paneer,283.63,316.07,0.07,purchase,1,283.63,2025-04-30 06:00:00,6,2,323,4,4,0,4.49,cloudy,1,0.112,0.0,0.067,0.079,0
1,AAGrocery Market,Grocery,Bhopal,1625,50842,Wheat Flour,374.19,399.0,0.1,view,0,0.0,2025-06-26 20:06:00,20,3,109,23,9,9,4.42,sunny,0,0.584,0.375,0.5,0.45,1
1,AAGrocery Market,Grocery,Bhopal,1423,75025,Potatoes,190.87,215.18,0.03,view,0,0.0,2025-09-27 20:11:00,20,5,75,17,10,0,3.52,cold,1,0.392,0.0,0.235,0.192,1
1,AAGrocery Market,Grocery,Bhopal,433,20285,Chocolate,39.55,45.75,0.12,purchase,4,158.2,2025-04-22 09:42:00,9,1,450,6,5,4,4.56,cloudy,1,0.204,0.571,0.351,0.295,0
1,AAGrocery Market,Grocery,Bhopal,1905,20285,Chocolate,255.98,266.74,0.11,add_to_cart,0,0.0,2025-07-15 10:33:00,10,1,335,8,1,1,3.76,cold,0,0.152,0.111,0.136,0.13,0
1,AAGrocery Market,Grocery,Bhopal,1904,83716,Onions,315.61,344.18,0.09,click,0,0.0,2025-10-03 23:19:00,23,4,349,1,1,1,3.57,rainy,1,0.04,0.5,0.224,0.235,0
1,AAGrocery Market,Grocery,Bhopal,869,42695,Coffee,261.51,302.55,0.04,add_to_cart,0,0.0,2025-09-05 19:51:00,19,4,291,20,8,8,4.49,sunny,0,0.512,0.381,0.46,0.381,1
