vendor_id,vendor_name,business_category,city,user_id,service_id,service_name,customer_segment,price,competitor_price,discount,action,booking,completion,revenue,timestamp,hour,weekday,session_duration,views_count,clicks_count,bookings_count,completions_count,rating,weather,festival_flag,popularity_score,conversion_rate,demand_score,recommendation_score,peak_time_flag
1,UrbanCare Services,Service,Bhopal,2620,70332,Hair Coloring,senior,1248.71,1476.91,0.22,view,0,0,0.0,2025-07-20 06:29:00,6,6,270,8,2,2,0,4.4,hot,0,0.14,0.0,0.084,0.072,0
1,UrbanCare Services,Service,Bhopal,131,27167,Haircut,family,636.78,554.21,0.26,view,0,0,0.0,2025-06-19 10:02:00,10,3,537,20,0,0,1,4.4,rainy,1,0.27,0.048,0.181,0.196,0
1,UrbanCare Services,Service,Bhopal,27,25426,Nail Treatment,senior,257.64,306.45,0.25,book_service,1,0,0.0,2025-11-04 17:43:00,17,1,368,9,2,0,1,3.82,sunny,0,0.143,0.1,0.126,0.11,1
1,UrbanCare Services,Service,Bhopal,397,7889,Home Cleaning,family,713.53,682.48,0.16,book_service,1,0,0.0,2025-07-12 14:50:00,14,5,846,2,2,1,0,4.15,cold,0,0.053,0.0,0.032,0.029,0
1,UrbanCare Services,Service,Bhopal,2575,6391,Car Wash,working_professional,1913.19,1719.62,0.09,book_service,1,0,0.0,2025-09-21 08:01:00,8,6,611,7,1,0,0,4.05,cloudy,0,0.103,0.0,0.062,0.061,0
1,UrbanCare Services,Service,Bhopal,414,44354,AC Repair,working_professional,2398.49,2206.34,0.15,view,0,0,0.0,2025-09-23 15:54:00,15,1,186,12,5,1,1,4.39,sunny,0,0.22,0.077,0.163,0.133,0
1,UrbanCare Services,Service,Bhopal,670,11412,Plumbing Service,family,1901.13,1729.43,0.02,view,0,0,0.0,2025-06-09 22:03:00,22,0,721,11,0,0,0,4.92,cloudy,1,0.147,0.0,0.088,0.104,0
1,UrbanCare Services,Service,Bhopal,272,19993,Facial Treatment,family,2463.51,2356.63,0.03,complete_service,0,1,2463.51,2025-08-18 03:23:00,3,0,237,21,15,12,10,4.53,cold,0,0.543,0.455,0.508,0.496,0
1,UrbanCare Services,Service,Bhopal,572,19993,Facial Treatment,working_professional,541.71,554.34,0.01,click,0,0,0.0,2025-07-11 07:44:00,7,4,784,19,13,9,6,4.86,cloudy,0,0.463,0.3,0.398,0.36,0
1,UrbanCare Services,Service,Bhopal,2088,11412,Plumbing Service,senior,2055.06,1971.01,0.16,view,0,0,0.0,2025-02-04 07:25:00,7,1,132,5,5,1,1,4.32,hot,0,0.127,0.167,0.143,0.125,0
1,UrbanCare Services,Service,Bhopal,1564,6391,Car Wash,family,2914.84,3268.4,0.28,complete_service,0,1,2914.84,2025-07-03 01:46:00,1,3,586,28,0,0,1,4.84,cloudy,0,0.377,0.034,0.24,0.249,0
1,UrbanCare Services,Service,Bhopal,1781,26024,Beard Trim,working_professional,2781.25,2450.2,0.06,view,0,0,0.0,2025-07-11 19:03:00,19,4,532,25,5,4,0,3.57,cloudy,0,0.41,0.0,0.246,0.229,1
1,UrbanCare Services,Service,Bhopal,1532,25426,Nail Treatment,working_professional,1288.3,1217.41,0.25,view,0,0,0.0,2025-01-01 09:59:00,9,2,633,11,7,0,0,4.04,cloudy,1,0.217,0.0,0.13,0.119,0
1,UrbanCare Services,Service,Bhopal,238,19993,Facial Treatment,senior,1719.55,1546.43,0.24,book_service,1,0,0.0,2025-02-27 08:22:00,8,3,107,24,15,2,2,3.61,rainy,0,0.49,0.08,0.326,0.389,0
1,UrbanCare Services,Service,Bhopal,2252,26024,Beard Trim,family,2362.29,2172.24,0.0,view,0,0,0.0,2025-11-05 02:52:00,2,2,236,30,17,6,5,4.72,cloudy,1,0.627,0.161,0.441,0.477,0
1,UrbanCare Services,Service,Bhopal,1795,23373,Mobile Repair,working_professional,2241.22,2510.04,0.02,click,0,0,0.0,2025-03-30 02:42:00,2,6,273,8,1,1,0,4.04,hot,0,0.123,0.0,0.074,0.063,0
1,UrbanCare Services,Service,Bhopal,30,70332,Hair Coloring,family,2616.69,2795.03,0.1,click,0,0,0.0,2025-02-12 20:53:00,20,2,254,3,0,1,0,3.6,hot,0,0.047,0.0,0.028,0.026,1
1,UrbanCare Services,Service,Bhopal,2741,11412,Plumbing Service,senior,1110.51,1227.52,0.19,view,0,0,0.0,2025-04-07 08:19:00,8,0,760,30,28,18,18,4.83,cold,0,0.86,0.581,0.748,0.74,0
1,UrbanCare Services,Service,Bhopal,1668,19993,Facial Treatment,senior,534.86,588.15,0.23,view,0,0,0.0,2025-11-10 21:09:00,21,0,382,14,6,3,0,4.34,sunny,0,0.267,0.0,0.16,0.177,1
1,UrbanCare Services,Service,Bhopal,2983,7889,Home Cleaning,family,1582.63,1634.79,0.13,book_service,1,0,0.0,2025-03-21 13:36:00,13,4,274,7,3,3,1,3.54,cold,0,0.147,0.125,0.138,0.116,0
1,UrbanCare Services,Service,Bhopal,1895,19993,Facial Treatment,student,288.0,308.95,0.09,book_service,1,0,0.0,2025-02-24 21:26:00,21,0,473,26,17,3,0,4.26,hot,0,0.537,0.0,0.322,0.374,1
1,UrbanCare Services,Service,Bhopal,969,26024,Beard Trim,senior,898.02,892.3,0.23,view,0,0,0.0,2025-12-17 12:20:00,12,2,238,28,12,0,0,3.84,cold,0,0.493,0.0,0.296,0.246,0
1,UrbanCare Services,Service,Bhopal,1087,23373,Mobile Repair,working_professional,1011.3,916.67,0.28,book_service,1,0,0.0,2025-11-28 07:50:00,7,4,312,14,11,11,8,4.71,cold,0,0.397,0.533,0.451,0.475,0
1,UrbanCare Services,Service,Bhopal,1216,19993,Facial Treatment,student,2640.09,2986.69,0.06,complete_service,0,1,2640.09,2025-02-14 09:18:00,9,4,785,11,0,0,1,4.84,hot,0,0.15,0.083,0.123,0.125,0
1,UrbanCare Services,Service,Bhopal,2081,70332,Hair Coloring,student,2460.83,2863.5,0.1,book_service,1,0,0.0,2025-02-19 21:29:00,21,2,629,3,1,1,0,3.67,hot,0,0.057,0.0,0.034,0.03,1
1,UrbanCare Services,Service,Bhopal,2537,70332,Hair Coloring,family,1395.9,1586.17,0.26,view,0,0,0.0,2025-08-19 08:57:00,8,1,287,7,5,1,1,3.51,cold,0,0.153,0.125,0.142,0.143,0
1,UrbanCare Services,Service,Bhopal,1873,7889,Home Cleaning,working_professional,1368.75,1269.84,0.04,complete_service,0,1,1368.75,2025-02-22 19:46:00,19,5,29,15,3,0,0,4.01,hot,1,0.23,0.0,0.138,0.162,1
1,UrbanCare Services,Service,Bhopal,1430,23373,Mobile Repair,family,1104.97,1139.86,0.21,view,0,0,0.0,2025-06-27 21:10:00,21,4,398,10,2,1,1,4.05,hot,0,0.163,0.091,0.134,0.159,1
1,UrbanCare Services,Service,Bhopal,2718,70332,Hair Coloring,family,2894.85,2715.73,0.15,complete_service,0,1,2894.85,2025-04-08 18:54:00,18,1,290,4,0,0,1,3.95,cloudy,0,0.057,0.2,0.114,0.104,1
1,UrbanCare Services,Service,Bhopal,834,94477,Massage Therapy,student,303.28,322.49,0.15,click,0,0,0.0,2025-07-12 05:27:00,5,5,537,16,8,0,0,3.58,cold,1,0.293,0.0,0.176,0.16,0
