product_id,product_name,category,vendor_name,location,price_inr,min_order_qty,rating,reviews,gst_percent,delivery_days,stock_available,contact_email,phone
P2001,Industrial Air Compressor 50L,Machinery,Sharma Engineering Works,"Delhi, India",18500,1,4.3,128,18,5,25,sales@sharmaengg.com,+91-9810011111
P2001,Industrial Air Compressor 50L,Machinery,Mehta Industrial Co.,"Mumbai, India",17900,1,4.1,98,18,6,18,contact@mehtaindustrial.com,+91-9820022222
P2001,Industrial Air Compressor 50L,Machinery,Prime Machines Ltd.,"Pune, India",19200,1,4.5,210,18,4,30,info@primemachines.com,+91-9830033333
P2002,LED Panel Light 24W,Electrical,BrightLite Solutions,"Mumbai, India",450,50,4.5,342,12,3,500,support@brightlite.com,+91-9840044444
P2002,LED Panel Light 24W,Electrical,GlowTech Lighting,"Delhi, India",420,50,4.2,210,12,4,450,sales@glowtech.com,+91-9850055555
P2002,LED Panel Light 24W,Electrical,EcoLight India,"Bangalore, India",470,40,4.6,390,12,2,600,info@ecolight.com,+91-9860066666
P2003,Stainless Steel Water Tank 500L,Home & Utility,AquaSafe Industries,"Ahmedabad, India",7200,5,4.2,89,18,7,40,contact@aquasafe.com,+91-9870077777
P2003,Stainless Steel Water Tank 500L,Home & Utility,PureStorage Co.,"Jaipur, India",6900,5,4.0,76,18,6,35,sales@purestorage.com,+91-9880088888
P2003,Stainless Steel Water Tank 500L,Home & Utility,SteelTank Solutions,"Chennai, India",7500,5,4.4,120,18,5,50,info@steeltank.com,+91-9890099999
P2004,Automatic Packaging Machine,Machinery,PackSmart Technologies,"Pune, India",125000,1,4.6,54,18,10,10,support@packsmart.com,+91-9900011111
P2004,Automatic Packaging Machine,Machinery,AutoPack Systems,"Delhi, India",118000,1,4.3,61,18,12,8,sales@autopack.com,+91-9910022222
P2004,Automatic Packaging Machine,Machinery,NextGen Packaging,"Hyderabad, India",130000,1,4.7,73,18,9,12,info@nextgenpack.com,+91-9920033333
P2005,Plastic Storage Crates,Logistics,Durable Plastics Co.,"Chennai, India",320,100,4.1,210,5,4,1000,sales@durableplastics.com,+91-9930044444
P2005,Plastic Storage Crates,Logistics,SafePack Plastics,"Mumbai, India",300,120,4.0,180,5,5,900,info@safepack.com,+91-9940055555
P2005,Plastic Storage Crates,Logistics,MegaStorage Solutions,"Kolkata, India",340,100,4.3,250,5,3,1100,contact@megastorage.com,+91-9950066666
